company,rating,tot_rating,address,service,tel,website
Rug Doctor,3.3,6,1 Merkland Ct,Carpet cleaning service,01903 235558,https://morrisons.rugdoctor.co.uk/findarugdoctor/flow/storepicker/storecode/601470
McMillan's Chem Dry,5,2,44 Moorfoot Way,Carpet cleaning service,0141 943 2305,http://mcmillanschemdry.co.uk/
GlasgowCarpetCleaningSpecialists,5,2,65 Old Castle Rd,Carpet cleaning service,07342 103775,http://www.glasgowcarpetcleaningspecialists.com/
Caldwell Cleaning Services,4.5,10,"Unit 96B, Murray Business Park, Murray St",Commercial cleaning service,0141 887 1533,http://caldwellcleaningservices.co.uk/
Aquarius Cleaning,5,4,,Carpet cleaning service,0141 777 7949,
Absolutely Clean Restoration Ltd,5,2,,Carpet cleaning service,0800 458 4901,http://www.absolutelycleanglasgow.co.uk/
Gleniffer Carpet & Upholstery,5,3,,Carpet cleaning service,07843 274867,https://gleniffercarpetcleaning.co.uk/
JM Premier Cleaning Services Glasgow,5,4,,Carpet cleaning service,07432 668751,http://www.jmpremiercleaningservices.co.uk/
M & C Cleaning Service,4,4,Kennoway Dr,Cleaning service,07511 773990,
Excellence Carpet Cleaning Glasgow,3,1,"Rothesay House, 5 Parsonage Square",Carpet cleaning service,0141 280 9989,
Wee Cleaners,5,1,Glenkirk Dr,Carpet cleaning service,Open 24 hours,https://wee-cleaners.business.site/?utm_source=gmb&utm_medium=referral
Dri-NOW Greater Glasgow,5,2,,Carpet cleaning service,07496 816251,https://dri-now.co.uk/carpet-cleaning-glasgow/
Squeeky Clean,5,1,50 Milverton Ave,Carpet cleaning service,0141 942 8875,http://squeakyclean.me/
Davenport Cleaning Services,5,2,11 Cross Rd,Carpet cleaning service,0141 848 0512,http://www.davenportcleaningservices.co.uk/
Zest Carpet And Upholstery Cleaning,5,1,150 Kestrel Rd,Carpet cleaning service,07870 626474,
McNeil Cleaning Solutions Ltd,4,3,272 Bath St,Carpet cleaning service,0141 354 8859,
Little-Persia,5,8,11 Commerce St,Carpet cleaning service,0141 420 6989,https://www.little-persia.com/
PDee Carpet Cleaning Services,5,1,,Carpet cleaning service,07835 339979,
Glo-chem Total Cleaning Services,5,3,115 Kirkton Ave,Carpet cleaning service,07773 875581,https://www.facebook.com/glochemuk/?locale=en_GB
The Carpet Cleaner Glasgow,,,,Carpet cleaning service,0141 295 0008,
Eclipse Deep Clean,5,1,"11, Hillington Business Centre Hillington Park, 15 Nasmyth Rd S",Carpet cleaning service,0141 374 2325,http://eclipsedeepclean.co.uk/
Miint Cleaning,4.8,25,,House cleaning service,0141 737 0913,http://miintcleaning.co.uk/
The Scottish Cleaning Company,5,4,,Carpet cleaning service,0141 769 0072,http://scottishcleaning.co.uk/
Platinum carpet care,5,1,,Carpet cleaning service,07515 005003,http://www.platinumcarpet-care.co.uk/
SM Carpet Cleaning,5,2,,Carpet cleaning service,07860 733707,https://www.facebook.com/profile.php?id=100086107369456
Norham Cleaning,5,2,"Suite 220 Claymore House, 145 Kilmarnock Rd",Carpet cleaning service,0141 673 4902,https://norhamcleaning.co.uk/?utm_source=GMB&utm_medium=Organic&utm_campaign=Kilmarnock-Rd
Jedi Cleaning Services,5,1,126 W Regent St,Carpet cleaning service,07596 877251,https://jedicleaningservices.co.uk/
Clean It All,5,1,14 Monkcastle Dr,Carpet cleaning service,0141 770 1952,http://www.cleanitall.info/
Carpet Chem,5,1,"Lennox Court, 18 Stockiemuir Ave",Carpet cleaning service,0141 258 0688,
Chem Clean Direct,,,2 W Regent St,Carpet cleaning service,0141 280 2535,
Blue Dustpan Cleaning Service,5,3,,Carpet cleaning service,Closed ⋅ Opens 9 am,http://blue-dustpan.business.site/
Carpet Cleaner - Premium Clean,5,1,,Carpet cleaning service,07532 719270,http://www.facebook.com/premiumcleanglasgow
Go Cleanuk Ltd,,,272 Bath St,Carpet cleaning service,07469 697000,
mcmillansrugspa,5,1,"Carberry Court, McMillan’s Rug Spa, 2, 28 Queen Elizabeth Ave",Carpet cleaning service,0141 892 6310,http://mcmillansrugspa.co.uk/
Total-Cleaning.com,2.3,3,33 Townsend St,Carpet cleaning service,0300 030 0175,http://www.total-cleaning.com/
Ferrier Cleaning Specialists-Glasgow,,,20 Cairnsmore Dr,Carpet cleaning service,07753 617477,
Calderwood Carpet Cleaning,5,1,Ironstone Rd,Carpet cleaning service,07872 594468,
P Dee Carpet & Upholstery Cleaning,3.7,3,"Roman Buildings, 11 Mansionhouse Rd",Carpet cleaning service,07835 339979,https://p-dee-carpet-upholstery-cleaning.business.site/?utm_source=gmb&utm_medium=referral
John Mitchell Carpet Cleaning,5,3,,Carpet cleaning service,07496 372020,
Ace Cleaning Services,3,2,"The Whisky Bond, 2 Dawson Rd",Carpet cleaning service,0800 994 9029,http://ace-cleaning-services.co.uk/
agenda cleaning services,3,1,"Yorkhill hospital, Dalnair St",Carpet cleaning service,07796 344449,
RJM Rug Cleaning Glasgow,,,,Carpet cleaning service,0141 673 0258,https://rjmcarpetcleaning.co.uk/rug-cleaning-glasgow/
The Dumbarton Carpet & Sofa Cleaner,,,,Carpet cleaning service,07833 328573,
Shine carpet and upholstery cleaning,5,4,13 Seaforth Rd,Carpet cleaning service,07979 752025,https://www.facebook.com/Shine-carpet-and-upholstery-cleaning-107512485055465/
Carpet Cleaning Renfrew,,,45 Hallidale Cres,Carpet cleaning service,07855 788896,
Wee G - Carpet and Upholstery Cleaning,,,,Carpet cleaning service,07889 834889,https://wee-g.business.site/?utm_source=gmb&utm_medium=referral
Pure Dry Scotland,,,28 Crossveggate,Carpet cleaning service,0141 340 9040,
"Cleaning Doctor Carpet & Upholstery Services Ayrshire, Inverclyde and Renfrewshire",3.7,3,,Carpet cleaning service,07936 901000,https://cleaningdoctor.net/ayrshire/
